,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Dunbar-Southlands,49.2379619063,-123.189546803,Red Tuna,49.234745797914634,-123.18495243168344,Japanese Restaurant
1,Dunbar-Southlands,49.2379619063,-123.189546803,Crépe Café,49.234682694583626,-123.18206639507531,Café
2,Dunbar-Southlands,49.2379619063,-123.189546803,Butter Baked Goods,49.242209327685536,-123.17038089631828,Bakery
3,Dunbar-Southlands,49.2379619063,-123.189546803,Dunbar Theater,49.24561315512162,-123.18542830775695,Indie Movie Theater
4,Dunbar-Southlands,49.2379619063,-123.189546803,Handi Cuisine of India,49.24675755239661,-123.18525036850964,Indian Restaurant
5,Dunbar-Southlands,49.2379619063,-123.189546803,Save-On-Foods,49.2350055,-123.1841188,Grocery Store
6,Dunbar-Southlands,49.2379619063,-123.189546803,Blaq Sheep Coffee House And Bistro,49.23550077892422,-123.18532438677896,Coffee Shop
7,Dunbar-Southlands,49.2379619063,-123.189546803,Dunbar Community Centre,49.24354640195617,-123.18562235162956,Gym
8,Dunbar-Southlands,49.2379619063,-123.189546803,TD Canada Trust,49.2488774,-123.1850313,Bank
9,Dunbar-Southlands,49.2379619063,-123.189546803,Stong's Market,49.2457976131043,-123.18498586261883,Grocery Store
10,Dunbar-Southlands,49.2379619063,-123.189546803,Subway,49.246301522296704,-123.1850144327346,Sandwich Place
11,Dunbar-Southlands,49.2379619063,-123.189546803,Cheshire Cheese Inn,49.245436823336554,-123.18526962240448,Restaurant
12,Dunbar-Southlands,49.2379619063,-123.189546803,Balaclava Park,49.24512736409405,-123.17453417277176,Park
13,Dunbar-Southlands,49.2379619063,-123.189546803,Beauty Boutique by Shoppers Drug Mart,49.247703,-123.18486,Cosmetics Shop
14,Dunbar-Southlands,49.2379619063,-123.189546803,Dunbar Public House,49.246293911047175,-123.18548583884973,Pub
15,Dunbar-Southlands,49.2379619063,-123.189546803,Starbucks,49.24648,-123.18542,Coffee Shop
16,Dunbar-Southlands,49.2379619063,-123.189546803,Celtic Treasure Chest,49.23516887976571,-123.1855042628328,Grocery Store
17,Dunbar-Southlands,49.2379619063,-123.189546803,"Bus Stop 50298 (7,32,N22)",49.234911665210106,-123.18542217544277,Bus Stop
18,Dunbar-Southlands,49.2379619063,-123.189546803,New District Store,49.23488,-123.18523,Liquor Store
19,Dunbar-Southlands,49.2379619063,-123.189546803,Musqueam Golf Course & Learning Academy,49.22492266434273,-123.1923146198869,Golf Course
20,Dunbar-Southlands,49.2379619063,-123.189546803,The Dailey Method Vancouver,49.234779989180936,-123.18422341309454,Gym / Fitness Center
21,Dunbar-Southlands,49.2379619063,-123.189546803,Sushi Inn,49.24682,-123.185225,Sushi Restaurant
22,Dunbar-Southlands,49.2379619063,-123.189546803,30 Minute Hit,49.23476772821521,-123.18261928086895,Gym
23,Dunbar-Southlands,49.2379619063,-123.189546803,Point Grey Golf Club,49.22931300505431,-123.18055629730225,Golf Course
